id,status,participants,startCoords,finishCoords,winnerId,startTime,endTime
race-hist-42001-24,finished,"[""drv-syn-007"",""drv-syn-041""]","{""latitude"":34.12343365096488,""longitude"":-118.44288335597375}","{""latitude"":34.12830171438455,""longitude"":-118.45801800278552}",drv-syn-041,2026-03-07T22:59:10.008Z,2026-03-07T23:00:39.610Z
race-hist-42001-25,finished,"[""drv-syn-044"",""drv-syn-025""]","{""latitude"":33.98275726093911,""longitude"":-118.42740395687288}","{""latitude"":33.98241722132825,""longitude"":-118.44302669522529}",drv-syn-025,2025-11-19T17:24:35.282Z,2025-11-19T17:25:14.279Z
race-hist-42001-26,finished,"[""drv-syn-027"",""drv-syn-043""]","{""latitude"":34.11102523516398,""longitude"":-118.38042106635403}","{""latitude"":34.103714457971655,""longitude"":-118.36538877945128}",drv-syn-043,2025-12-14T21:53:06.119Z,2025-12-14T21:54:12.036Z
race-hist-42001-27,finished,"[""drv-syn-019"",""drv-syn-009""]","{""latitude"":34.079569695401005,""longitude"":-118.37491909674135}","{""latitude"":34.08606568242216,""longitude"":-118.37010596374618}",drv-syn-009,2026-02-26T02:50:59.618Z,2026-02-26T02:51:11.368Z
race-hist-42001-28,finished,"[""drv-syn-039"",""drv-syn-002""]","{""latitude"":33.97416968358681,""longitude"":-118.49279271982377}","{""latitude"":33.98664156849803,""longitude"":-118.49778113392144}",drv-syn-002,2026-01-23T12:47:50.390Z,2026-01-23T12:49:11.697Z
race-hist-42001-29,finished,"[""drv-syn-047"",""drv-syn-046""]","{""latitude"":34.111768200080846,""longitude"":-118.48037496255711}","{""latitude"":34.112009424523,""longitude"":-118.47553481783697}",drv-syn-046,2025-12-03T12:43:59.946Z,2025-12-03T12:45:19.964Z
race-hist-42001-30,finished,"[""drv-syn-013"",""drv-syn-024""]","{""latitude"":33.96935664132238,""longitude"":-118.43460258921841}","{""latitude"":33.96543970763588,""longitude"":-118.42157104179223}",drv-syn-013,2025-11-05T02:41:40.794Z,2025-11-05T02:42:51.853Z
race-hist-42001-31,finished,"[""drv-syn-029"",""drv-syn-034""]","{""latitude"":34.098869286524135,""longitude"":-118.52219599193195}","{""latitude"":34.08918591532026,""longitude"":-118.50928046193322}",drv-syn-029,2026-01-11T10:28:47.517Z,2026-01-11T10:30:09.320Z
race-hist-42001-32,finished,"[""drv-syn-019"",""drv-syn-023""]","{""latitude"":34.07452333421447,""longitude"":-118.43242068026447}","{""latitude"":34.074202786684985,""longitude"":-118.42907363795464}",drv-syn-019,2025-12-18T20:10:59.622Z,2025-12-18T20:11:38.201Z
race-hist-42001-33,finished,"[""drv-syn-010"",""drv-syn-007""]","{""latitude"":34.12950767583214,""longitude"":-118.45800658796215}","{""latitude"":34.12128622462505,""longitude"":-118.45712520645792}",drv-syn-007,2026-01-16T14:52:41.257Z,2026-01-16T14:53:37.829Z
race-hist-42001-34,finished,"[""drv-syn-012"",""drv-syn-038""]","{""latitude"":34.01784335409291,""longitude"":-118.24013502440648}","{""latitude"":34.02410873237769,""longitude"":-118.23744635292664}",drv-syn-038,2026-02-13T16:50:28.119Z,2026-02-13T16:51:42.331Z
race-hist-42001-35,finished,"[""drv-syn-043"",""drv-syn-027""]","{""latitude"":34.08111233403441,""longitude"":-118.52179955528118}","{""latitude"":34.083797304069755,""longitude"":-118.53951940234937}",drv-syn-027,2025-10-02T11:04:23.117Z,2025-10-02T11:04:48.237Z
race-hist-42001-36,finished,"[""drv-syn-036"",""drv-syn-045""]","{""latitude"":34.0347000221815,""longitude"":-118.23380522881634}","{""latitude"":34.04718585296502,""longitude"":-118.22890494302565}",drv-syn-045,2026-02-28T00:56:29.543Z,2026-02-28T00:57:19.619Z
race-hist-42001-37,finished,"[""drv-syn-021"",""drv-syn-003""]","{""latitude"":34.1244820689736,""longitude"":-118.51049263826572}","{""latitude"":34.13759560232385,""longitude"":-118.51159752993775}",drv-syn-021,2025-12-19T20:56:28.729Z,2025-12-19T20:56:48.441Z
race-hist-42001-38,finished,"[""drv-syn-003"",""drv-syn-033""]","{""latitude"":34.005195519817065,""longitude"":-118.42695853842888}","{""latitude"":34.00565153755983,""longitude"":-118.42219285786314}",drv-syn-033,2026-01-11T18:15:35.818Z,2026-01-11T18:16:34.921Z
race-hist-42001-39,finished,"[""drv-syn-007"",""drv-syn-043""]","{""latitude"":34.001402334682645,""longitude"":-118.24634004783583}","{""latitude"":33.99730681037366,""longitude"":-118.23641791573804}",drv-syn-043,2026-03-04T05:38:35.927Z,2026-03-04T05:39:29.305Z
race-hist-42001-40,finished,"[""drv-syn-019"",""drv-syn-021""]","{""latitude"":34.16254022801761,""longitude"":-118.39980293103726}","{""latitude"":34.16684574938539,""longitude"":-118.39963716170327}",drv-syn-019,2025-12-22T07:17:50.623Z,2025-12-22T07:19:06.868Z
race-hist-42001-41,finished,"[""drv-syn-007"",""drv-syn-018""]","{""latitude"":34.06472872194834,""longitude"":-118.47339049590518}","{""latitude"":34.07021863113401,""longitude"":-118.46813018976839}",drv-syn-007,2026-01-23T14:16:58.537Z,2026-01-23T14:17:35.553Z
race-hist-42001-42,finished,"[""drv-syn-002"",""drv-syn-030""]","{""latitude"":34.15331154427026,""longitude"":-118.4048745713546}","{""latitude"":34.14784392374411,""longitude"":-118.40420215987189}",drv-syn-030,2025-12-26T03:28:31.623Z,2025-12-26T03:29:54.869Z
race-hist-42001-43,finished,"[""drv-syn-044"",""drv-syn-014""]","{""latitude"":34.02030023650266,""longitude"":-118.5151376395137}","{""latitude"":34.02421889263757,""longitude"":-118.52702524806082}",drv-syn-044,2025-11-15T16:49:26.341Z,2025-11-15T16:50:39.792Z
race-hist-42001-44,finished,"[""drv-syn-042"",""drv-syn-002""]","{""latitude"":34.129360543834046,""longitude"":-118.49302320558344}","{""latitude"":34.120419519334234,""longitude"":-118.49822086805669}",drv-syn-042,2026-03-16T08:02:54.054Z,2026-03-16T08:03:32.249Z
race-hist-42001-45,finished,"[""drv-syn-036"",""drv-syn-016""]","{""latitude"":34.06127037705854,""longitude"":-118.2255124396528}","{""latitude"":34.05698590917829,""longitude"":-118.22523510650183}",drv-syn-016,2025-11-18T08:11:38.140Z,2025-11-18T08:12:55.808Z
race-hist-42001-46,finished,"[""drv-syn-037"",""drv-syn-027""]","{""latitude"":34.12030059824698,""longitude"":-118.27883483595214}","{""latitude"":34.116998263156766,""longitude"":-118.27974094705272}",drv-syn-027,2026-03-09T10:03:39.647Z,2026-03-09T10:05:08.276Z
race-hist-42001-47,finished,"[""drv-syn-007"",""drv-syn-015""]","{""latitude"":34.121076904507355,""longitude"":-118.2861684392672}","{""latitude"":34.10660674404029,""longitude"":-118.28303736354836}",drv-syn-015,2026-02-14T13:49:00.806Z,2026-02-14T13:50:07.125Z
race-hist-42001-48,finished,"[""drv-syn-014"",""drv-syn-027""]","{""latitude"":34.00108431168366,""longitude"":-118.31636438046117}","{""latitude"":34.00385724559184,""longitude"":-118.30495406528657}",drv-syn-027,2025-12-07T04:35:39.014Z,2025-12-07T04:36:37.000Z
race-hist-42001-49,finished,"[""drv-syn-038"",""drv-syn-040""]","{""latitude"":34.16746555007063,""longitude"":-118.449647274171}","{""latitude"":34.17638905883652,""longitude"":-118.44732717764103}",drv-syn-040,2025-11-22T17:49:47.049Z,2025-11-22T17:50:47.720Z
race-hist-42001-50,finished,"[""drv-syn-042"",""drv-syn-033""]","{""latitude"":34.037757665393876,""longitude"":-118.20710577130085}","{""latitude"":34.024978589123485,""longitude"":-118.20488981587086}",drv-syn-042,2025-10-23T12:51:29.120Z,2025-10-23T12:52:16.225Z
race-hist-42001-51,finished,"[""drv-syn-019"",""drv-syn-023""]","{""latitude"":34.04678855482955,""longitude"":-118.2821400414221}","{""latitude"":34.048348867140945,""longitude"":-118.27621564568474}",drv-syn-023,2025-10-14T10:56:31.057Z,2025-10-14T10:57:48.986Z
race-hist-42001-52,finished,"[""drv-syn-004"",""drv-syn-050""]","{""latitude"":34.087527389158495,""longitude"":-118.32075661418493}","{""latitude"":34.081108936888505,""longitude"":-118.32526128187718}",drv-syn-050,2025-10-11T23:58:03.440Z,2025-10-11T23:58:25.781Z
race-hist-42001-53,finished,"[""drv-syn-011"",""drv-syn-025""]","{""latitude"":34.108229178297336,""longitude"":-118.27512109824455}","{""latitude"":34.10467132550076,""longitude"":-118.28473629059127}",drv-syn-011,2026-01-25T16:31:41.375Z,2026-01-25T16:33:00.387Z
race-hist-42001-54,finished,"[""drv-syn-003"",""drv-syn-006""]","{""latitude"":34.09034999215976,""longitude"":-118.52849943888141}","{""latitude"":34.08708416213766,""longitude"":-118.53077907172826}",drv-syn-006,2026-03-02T06:08:55.326Z,2026-03-02T06:09:38.055Z
race-hist-42001-55,finished,"[""drv-syn-024"",""drv-syn-038""]","{""latitude"":34.00465361051262,""longitude"":-118.39493768170941}","{""latitude"":34.01077201230522,""longitude"":-118.40095278431535}",drv-syn-024,2026-03-21T20:25:28.201Z,2026-03-21T20:26:57.058Z
race-hist-42001-56,finished,"[""drv-syn-030"",""drv-syn-041""]","{""latitude"":33.96707569089718,""longitude"":-118.31475092937471}","{""latitude"":33.96740829766541,""longitude"":-118.3027261836132}",drv-syn-030,2025-12-30T19:02:13.216Z,2025-12-30T19:02:33.125Z
race-hist-42001-57,finished,"[""drv-syn-029"",""drv-syn-022""]","{""latitude"":34.07111622978933,""longitude"":-118.23635783761274}","{""latitude"":34.05661543446303,""longitude"":-118.23312387470082}",drv-syn-029,2025-10-10T07:01:22.290Z,2025-10-10T07:01:55.927Z
race-hist-42001-58,finished,"[""drv-syn-047"",""drv-syn-005""]","{""latitude"":34.07632929969114,""longitude"":-118.23859220027225}","{""latitude"":34.08075608940691,""longitude"":-118.23858577031997}",drv-syn-047,2026-02-15T17:19:25.381Z,2026-02-15T17:20:06.763Z
race-hist-42001-59,finished,"[""drv-syn-027"",""drv-syn-012""]","{""latitude"":34.10879926973954,""longitude"":-118.21239335853606}","{""latitude"":34.10593664056857,""longitude"":-118.20572042781423}",drv-syn-027,2026-02-17T21:47:22.288Z,2026-02-17T21:47:54.634Z
race-hist-42001-60,finished,"[""drv-syn-039"",""drv-syn-030""]","{""latitude"":34.02058524654713,""longitude"":-118.20305662347236}","{""latitude"":34.02501834010401,""longitude"":-118.18658701931138}",drv-syn-030,2026-01-23T16:31:45.655Z,2026-01-23T16:32:19.128Z
race-hist-42001-61,finished,"[""drv-syn-013"",""drv-syn-044""]","{""latitude"":34.14563712538686,""longitude"":-118.21493611551122}","{""latitude"":34.16054615865757,""longitude"":-118.22249633195669}",drv-syn-044,2025-10-11T07:25:21.495Z,2025-10-11T07:26:07.384Z
race-hist-42001-62,finished,"[""drv-syn-015"",""drv-syn-007""]","{""latitude"":33.96452202644665,""longitude"":-118.20161424896214}","{""latitude"":33.96742416520442,""longitude"":-118.2054901701153}",drv-syn-007,2025-09-26T01:43:56.521Z,2025-09-26T01:44:31.204Z
race-hist-42001-63,finished,"[""drv-syn-023"",""drv-syn-017""]","{""latitude"":33.97037519882899,""longitude"":-118.3495245630038}","{""latitude"":33.96979597188322,""longitude"":-118.34084124800658}",drv-syn-023,2026-01-21T10:04:30.847Z,2026-01-21T10:05:02.803Z
race-hist-42001-64,finished,"[""drv-syn-028"",""drv-syn-040""]","{""latitude"":33.975863601313904,""longitude"":-118.22438111931551}","{""latitude"":33.97456697100543,""longitude"":-118.20682086559482}",drv-syn-028,2025-11-14T14:11:27.532Z,2025-11-14T14:12:39.721Z
race-hist-42001-65,finished,"[""drv-syn-035"",""drv-syn-032""]","{""latitude"":33.98993738979102,""longitude"":-118.50263585585635}","{""latitude"":33.994604702720764,""longitude"":-118.50069708874388}",drv-syn-032,2026-03-05T05:43:58.400Z,2026-03-05T05:44:52.353Z
race-hist-42001-66,finished,"[""drv-syn-036"",""drv-syn-023""]","{""latitude"":34.1069851038605,""longitude"":-118.36663429863984}","{""latitude"":34.11935318885547,""longitude"":-118.35949342669853}",drv-syn-036,2026-02-07T23:30:40.911Z,2026-02-07T23:31:27.633Z
race-hist-42001-67,finished,"[""drv-syn-041"",""drv-syn-031""]","{""latitude"":34.16945651851595,""longitude"":-118.52057277108543}","{""latitude"":34.181162104624704,""longitude"":-118.51218676071987}",drv-syn-041,2026-02-17T04:12:49.478Z,2026-02-17T04:13:08.388Z
race-hist-42001-68,finished,"[""drv-syn-003"",""drv-syn-021""]","{""latitude"":34.14848803048954,""longitude"":-118.53313550475286}","{""latitude"":34.14974622686923,""longitude"":-118.53697622268842}",drv-syn-021,2025-12-13T00:04:29.943Z,2025-12-13T00:05:53.822Z
race-hist-42001-69,finished,"[""drv-syn-031"",""drv-syn-036""]","{""latitude"":34.15704140764662,""longitude"":-118.54220532908802}","{""latitude"":34.16267031852511,""longitude"":-118.54952035198323}",drv-syn-036,2025-12-06T03:40:17.503Z,2025-12-06T03:41:03.238Z
race-hist-42001-70,finished,"[""drv-syn-023"",""drv-syn-028""]","{""latitude"":33.981757800704806,""longitude"":-118.33170231101103}","{""latitude"":33.98367861231486,""longitude"":-118.34616295604745}",drv-syn-028,2026-01-27T15:22:54.575Z,2026-01-27T15:24:17.368Z
race-hist-42001-71,finished,"[""drv-syn-034"",""drv-syn-040""]","{""latitude"":34.069489553179594,""longitude"":-118.30575323777738}","{""latitude"":34.06253054860604,""longitude"":-118.30096139509446}",drv-syn-040,2025-12-28T19:53:26.977Z,2025-12-28T19:53:40.358Z
race-hist-42001-72,finished,"[""drv-syn-008"",""drv-syn-011""]","{""latitude"":34.16536418012343,""longitude"":-118.50984155654442}","{""latitude"":34.16880084841449,""longitude"":-118.51230732083121}",drv-syn-008,2025-12-01T00:51:45.212Z,2025-12-01T00:52:30.468Z
race-hist-42001-73,finished,"[""drv-syn-017"",""drv-syn-044""]","{""latitude"":33.995519972713666,""longitude"":-118.32984114759601}","{""latitude"":34.00384066738457,""longitude"":-118.31932144040772}",drv-syn-044,2025-12-23T21:45:01.684Z,2025-12-23T21:46:06.252Z
race-hist-42001-74,finished,"[""drv-syn-046"",""drv-syn-008""]","{""latitude"":33.996991461371074,""longitude"":-118.23398691841867}","{""latitude"":33.99187672768172,""longitude"":-118.23911785746112}",drv-syn-008,2026-01-17T22:33:12.070Z,2026-01-17T22:34:17.800Z
race-hist-42001-75,finished,"[""drv-syn-016"",""drv-syn-007""]","{""latitude"":34.09926536335144,""longitude"":-118.43441421639872}","{""latitude"":34.09285390451632,""longitude"":-118.43443747919406}",drv-syn-007,2025-12-03T02:31:28.060Z,2025-12-03T02:32:01.141Z
race-hist-42001-76,finished,"[""drv-syn-017"",""drv-syn-011""]","{""latitude"":34.134411257980396,""longitude"":-118.33340405379421}","{""latitude"":34.131204679039705,""longitude"":-118.33149983609577}",drv-syn-017,2025-10-11T18:22:12.425Z,2025-10-11T18:22:54.898Z
race-hist-42001-77,finished,"[""drv-syn-001"",""drv-syn-036""]","{""latitude"":34.15755402973387,""longitude"":-118.38663203045725}","{""latitude"":34.16435653692104,""longitude"":-118.38935325628941}",drv-syn-036,2026-02-03T07:45:36.521Z,2026-02-03T07:47:01.502Z
race-hist-42001-78,finished,"[""drv-syn-037"",""drv-syn-044""]","{""latitude"":34.10514663822018,""longitude"":-118.5378558273078}","{""latitude"":34.107198888379386,""longitude"":-118.5442333317601}",drv-syn-037,2025-12-24T08:02:54.408Z,2025-12-24T08:03:37.094Z
race-hist-42001-79,finished,"[""drv-syn-009"",""drv-syn-001""]","{""latitude"":33.98246036127676,""longitude"":-118.37248117171693}","{""latitude"":33.98772926077423,""longitude"":-118.36483019470707}",drv-syn-001,2026-03-06T05:25:58.973Z,2026-03-06T05:26:15.851Z
race-hist-42001-80,finished,"[""drv-syn-032"",""drv-syn-006""]","{""latitude"":34.15245682106354,""longitude"":-118.34492566097761}","{""latitude"":34.148767499174404,""longitude"":-118.34458868563244}",drv-syn-032,2025-12-28T11:12:18.369Z,2025-12-28T11:12:54.234Z
race-hist-42001-81,finished,"[""drv-syn-032"",""drv-syn-020""]","{""latitude"":34.05160813562572,""longitude"":-118.425127264834}","{""latitude"":34.04328927390021,""longitude"":-118.41509054523625}",drv-syn-032,2026-02-25T12:56:24.129Z,2026-02-25T12:57:35.608Z
race-hist-42001-82,finished,"[""drv-syn-041"",""drv-syn-046""]","{""latitude"":34.041589852548206,""longitude"":-118.37135258091148}","{""latitude"":34.0300265453278,""longitude"":-118.3813326984353}",drv-syn-046,2026-03-11T23:29:33.483Z,2026-03-11T23:30:10.173Z
race-hist-42001-83,finished,"[""drv-syn-008"",""drv-syn-011""]","{""latitude"":34.03189997122158,""longitude"":-118.21848020973847}","{""latitude"":34.04106758342752,""longitude"":-118.21727914181162}",drv-syn-011,2025-11-25T21:26:13.487Z,2025-11-25T21:26:45.831Z
race-hist-42001-84,finished,"[""drv-syn-028"",""drv-syn-041""]","{""latitude"":34.10154044718482,""longitude"":-118.2880649844883}","{""latitude"":34.108645358301786,""longitude"":-118.30117280792132}",drv-syn-028,2025-12-15T10:40:34.567Z,2025-12-15T10:41:02.841Z
race-hist-42001-85,finished,"[""drv-syn-043"",""drv-syn-029""]","{""latitude"":34.120780084957374,""longitude"":-118.30149281994672}","{""latitude"":34.125590721815065,""longitude"":-118.297959255973}",drv-syn-043,2026-03-07T17:38:00.493Z,2026-03-07T17:38:57.274Z
race-hist-42001-86,finished,"[""drv-syn-010"",""drv-syn-002""]","{""latitude"":34.024459897456694,""longitude"":-118.50270803968887}","{""latitude"":34.019675029547614,""longitude"":-118.50164845367803}",drv-syn-002,2025-10-09T07:55:10.115Z,2025-10-09T07:56:07.991Z
race-hist-42001-87,finished,"[""drv-syn-045"",""drv-syn-028""]","{""latitude"":33.954016293571335,""longitude"":-118.41151724854717}","{""latitude"":33.94770137941474,""longitude"":-118.40044794384656}",drv-syn-028,2026-03-02T19:09:58.667Z,2026-03-02T19:11:27.528Z
race-hist-42001-88,finished,"[""drv-syn-013"",""drv-syn-041""]","{""latitude"":34.138439801777714,""longitude"":-118.23001971888588}","{""latitude"":34.139952890686914,""longitude"":-118.23312671313842}",drv-syn-041,2025-10-03T06:04:12.536Z,2025-10-03T06:04:39.634Z
race-hist-42001-89,finished,"[""drv-syn-032"",""drv-syn-001""]","{""latitude"":34.09779669409618,""longitude"":-118.48010529263411}","{""latitude"":34.10987074840047,""longitude"":-118.47991174048737}",drv-syn-032,2026-02-19T08:08:10.650Z,2026-02-19T08:09:28.342Z
race-hist-42001-90,finished,"[""drv-syn-018"",""drv-syn-011""]","{""latitude"":34.118890137644485,""longitude"":-118.23620693928096}","{""latitude"":34.11891749074351,""longitude"":-118.23968097499993}",drv-syn-011,2026-01-05T06:17:39.596Z,2026-01-05T06:19:04.424Z
race-hist-42001-91,finished,"[""drv-syn-011"",""drv-syn-032""]","{""latitude"":34.020627677878366,""longitude"":-118.2556797820027}","{""latitude"":34.01336750197505,""longitude"":-118.23971042045055}",drv-syn-032,2026-01-15T15:15:15.507Z,2026-01-15T15:15:39.531Z
race-hist-42001-92,finished,"[""drv-syn-016"",""drv-syn-028""]","{""latitude"":34.15151533539407,""longitude"":-118.37630585358711}","{""latitude"":34.15426992106295,""longitude"":-118.38192256626405}",drv-syn-028,2026-01-03T08:04:29.407Z,2026-01-03T08:04:57.939Z
race-hist-42001-93,finished,"[""drv-syn-038"",""drv-syn-039""]","{""latitude"":33.95765573574696,""longitude"":-118.26796966426772}","{""latitude"":33.955297724745826,""longitude"":-118.27755170907304}",drv-syn-038,2025-11-22T17:22:00.489Z,2025-11-22T17:22:17.076Z
race-hist-42001-94,finished,"[""drv-syn-039"",""drv-syn-040""]","{""latitude"":34.15162766804453,""longitude"":-118.25630696094595}","{""latitude"":34.14484625277558,""longitude"":-118.25069472041449}",drv-syn-039,2025-11-10T17:00:25.720Z,2025-11-10T17:01:38.340Z
race-hist-42001-95,finished,"[""drv-syn-004"",""drv-syn-016""]","{""latitude"":34.16216065003537,""longitude"":-118.4332785496721}","{""latitude"":34.161319573796234,""longitude"":-118.4205196569564}",drv-syn-004,2025-10-01T19:39:56.500Z,2025-10-01T19:41:22.511Z
race-hist-42001-96,finished,"[""drv-syn-033"",""drv-syn-019""]","{""latitude"":34.10285736153834,""longitude"":-118.24324961728416}","{""latitude"":34.11237237133797,""longitude"":-118.23243861320825}",drv-syn-019,2026-02-08T19:51:58.445Z,2026-02-08T19:52:27.136Z
race-hist-42001-97,finished,"[""drv-syn-014"",""drv-syn-012""]","{""latitude"":34.05628735965584,""longitude"":-118.34530384810641}","{""latitude"":34.054825311486184,""longitude"":-118.35978398728345}",drv-syn-012,2025-12-23T14:15:28.941Z,2025-12-23T14:16:26.594Z
race-hist-42001-98,finished,"[""drv-syn-035"",""drv-syn-046""]","{""latitude"":34.133167367945425,""longitude"":-118.33641862185904}","{""latitude"":34.1258246913615,""longitude"":-118.32008098869944}",drv-syn-046,2025-10-01T18:01:43.917Z,2025-10-01T18:02:47.216Z
